,ER CDX HY 5Y,ER CDX IG 5Y,ER CDX IG 10Y,ER CDX EM 5Y,ER ITRX MAIN 10Y,ER ITRX MAIN 5Y,ER ITRX XOVER 5Y,ER ITRX SNRFIN 5Y,ER ITRX SUBFIN 5Y,ER HYG,ER EMB,ER LQD,ER VCIT,ER IEI,ER IEF,ER RSP,ER IBCN,ER IEAC,ER IHYG,ER BKLN,ER HY Eqty,ER IG Eqty,ER SPY,ER EEM,ER IWM,ER IJH,ER SPX,ER RTY,ER SX5E
2021-06-11,266.7182821017,120.7428758568,112.9407931036,160.3027284722,122.0534801905,122.1162141,277.3447049994,124.2161044367,153.3633490809,1.0772476493502527,1.0598459510878113,1.091151653705877,1.0828749095324577,1.0514289953655043,1.0480144842128396,1.4329585047123576,0.9990825161993246,1.0163524314660084,1.0595302363770367,1.044290012104725,1.3976836020557515,1.3943181265052806,1.4443759659192608,1.3527393760609348,1.5275543708780788,1.4401879588761952,390.33,354.26,1340.32
2021-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14,266.6210723433,120.7240396049,112.9141978121,160.2344874423,122.0371833568,122.0956049937,277.2337991897,124.2065770195,153.3561577493,1.0762897883176727,1.0534604528046005,1.0871599443818838,1.0804899570718751,1.0495828212164864,1.0447489928745808,1.428530505188928,0.9983370606112749,1.0158852162394263,1.0589316671332447,1.0442882716213715,1.3779462196684626,1.3846116135244884,1.447607375371224,1.3564081897935405,1.5230688712523377,1.427735692214834,391.18,353.2,1343.568
2021-06-15,266.5946556771,120.7183115186,112.9045271642,160.1243919142,122.0160117872,122.0694259453,276.8199153835,124.1999896404,153.3757026661,1.0761843599237655,1.0558055630694578,1.087983704578523,1.081637127752678,1.0498218535323063,1.0449288177006908,1.4287164342784342,0.9979356614484789,1.0151933805340396,1.058843661538753,1.0433483899993146,1.3844882423786233,1.3888370741395997,1.4449496589730204,1.3471085650724814,1.5187150670893832,1.4263678952281789,390.33,352.07,1345.849
2021-06-16,266.0950947931,120.6781504666,112.8349729821,159.8832736088,122.0583355031,122.0915481382,277.0576295166,124.235225725,153.4133644139,1.07472587289127,1.04679171249552,1.0848896264204761,1.0761747215084212,1.044688945884349,1.0377659085031607,1.4190154210044843,0.9984517460863594,1.0153661845147357,1.0587558040331404,1.044284790661961,1.3772055464067863,1.3752987254359377,1.4368796337651135,1.3287557341581977,1.5154818507615788,1.4165953844549972,388.16,351.21,1348.457
2021-06-17,266.1251316762,120.6645137457,112.8045619207,159.8386894693,122.0496293071,122.0901566662,277.0991411969,124.2221917773,153.3836289117,1.0754766699435994,1.0509194856258939,1.0909460251935008,1.0785829190581258,1.0453273392813007,1.0414797777363942,1.4050755837748898,0.9973048913355136,1.0146361833296587,1.056834509859067,1.0419365448347049,1.346028163975843,1.356255515710243,1.4363991869831965,1.3360917956169958,1.49846832204269,1.3941618584761353,388.09,347.32,1349.761
2021-06-18,265.4460165598,120.5914015179,112.6679573192,159.5975711639,121.9389593409,122.0286542986,276.4013079905,124.1463131717,153.1421381173,1.0749908119081772,1.0539202910096013,1.0966758671462076,1.081447230558939,1.0458059958894734,1.047368845844043,1.3808722180386628,0.9963300647972947,1.014583872424761,1.0567531318146506,1.041464582865193,1.3185277322010251,1.333248591743619,1.4170802503538777,1.326790777206338,1.464445617105375,1.3668421348857274,382.68,339.13,1324.011
2021-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,266.4130006344,120.6812847976,112.8227898866,159.7795472435,122.0021984157,122.0632692115,276.823084046,124.1882617627,153.21686698,1.0770929591273828,1.0532604923591742,1.0903210576165345,1.0795224355627786,1.0451617991229616,1.04401233404973,1.4074256008045751,0.995584609209245,1.0131716828019053,1.0562580458014055,1.042594529510202,1.3554664603075115,1.362230183258482,1.437363328985659,1.3324156904970248,1.4957573417637646,1.399037864077708,388.23,346.78,1334.441
2021-06-22,266.8082961348,120.7208085582,112.8841547402,159.8169503177,122.1075295389,122.1030083157,277.1543236923,124.2577775958,153.392295243,1.0778479171995174,1.0527883743010962,1.0921260681687617,1.0811270950727199,1.0466814677815264,1.0459131855073696,1.4103489049977205,0.9953552382590758,1.0123613568810796,1.0561719942744052,1.0407109478869387,1.355095174250765,1.362742242962019,1.4450438558929164,1.3262951886943461,1.5025436896505515,1.400662743237624,390.3,348.54,1340.145
2021-06-23,266.8444509238,120.7283107306,112.8938261266,159.8707742538,122.2061788478,122.1468046669,277.7697271707,124.2974639114,153.506939895,1.0767584056112431,1.0540053465684929,1.0904240583567353,1.0792023899571788,1.0453157245750864,1.0438249705259124,1.407984255243979,0.9957566374218717,1.014106828743889,1.0565974804752558,1.040234568102172,1.3571903453473406,1.3586127193098774,1.4432980487622924,1.3343634994476017,1.5074839177594577,1.4016560530325475,389.87,349.73,1325.966
2021-06-24,267.2268783725,120.7736951791,112.9676899455,160.2037528415,122.2705400069,122.1809621881,278.0966504218,124.3326054874,153.6024481169,1.0800956887570057,1.0543777705588997,1.092558859664949,1.0804682580542355,1.0450728303024928,1.0436405080637303,1.4172341181467172,0.9967314639600907,1.0137471255371804,1.0567165843571127,1.0421167787468013,1.3683111075267678,1.3656117842435838,1.451832016028296,1.3465933262627792,1.5287741643946875,1.4149941541451654,392.12,354.42,1339.167
2021-06-25,267.5548169191,120.8184073618,113.0397535379,160.1754724683,122.3286046227,122.2115188161,278.3832343769,124.3588670337,153.671336758,1.0812195438223837,1.0525919257131326,1.0897140026426997,1.0790560219117236,1.0442681248303476,1.0414624197828906,1.4271448727301546,0.9957566374218718,1.0131247973245172,1.0565348782523667,1.041640397685659,1.3701964410341008,1.3742163104721699,1.4569850802981497,1.3578443115691452,1.5313408635004566,1.4279128482083956,393.53,354.54,1339.167
2021-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-28,267.3799080974,120.7876077611,112.9866219612,160.1563147961,122.2538991238,122.1723922931,277.8604858488,124.3082930841,153.5584337147,1.0811129144656455,1.054559587752544,1.094380215346828,1.0815180357148042,1.0455477897665069,1.044722301668649,1.4211920735305628,0.9965020930099214,1.0137806625130044,1.0563525793525217,1.0416375042401098,1.3521941053280053,1.3618323822315865,1.4599182345032773,1.3590634169454638,1.5192061431508015,1.4132015742832986,394.38,352.14,1328.574
2021-06-29,267.279092148,120.7892214554,112.9890619231,160.0787718374,122.264069055,122.1775006277,277.9070204147,124.2958682637,153.5022010651,1.0824831357663385,1.0542751469286058,1.0956984323470718,1.0828982638985327,1.0459453910624426,1.0452640839696214,1.4201494808819566,0.9965594357474636,1.0140611279146985,1.056784380478671,1.04257715304413,1.3475358368081685,1.3578578578466307,1.4606997499791534,1.358080873318197,1.5119499989631509,1.4118322662194758,394.52,350.38,1335.582
